region,language,site_name,main_url,news_url,rss_url,sitemap_url,category,priority,notes
Asia-Pacific,ja,BestCarWeb (Google feed),https://bestcarweb.jp,https://bestcarweb.jp,https://news.google.com/rss/search?q=site:bestcarweb.jp,,АвтоСМИ,1,from OPML (Asia-Pacific)
Asia-Pacific,en,Overdrive.in (IN),https://overdrive.in,https://overdrive.in,https://overdrive.in/rss,,АвтоСМИ,1,from OPML (Asia-Pacific)
Asia-Pacific,ja,Response.jp,https://response.jp,https://response.jp,https://response.jp/rss.xml,,АвтоСМИ,1,from OPML (Asia-Pacific)
Asia-Pacific,en,asia.nikkei.com,https://asia.nikkei.com/Business/Automobiles,https://asia.nikkei.com/Business/Automobiles,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,en,auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com,https://auto.economictimes.indiatimes.com,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,en,auto.qq.com,https://auto.qq.com,https://auto.qq.com,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,zh,auto.sina.com.cn,https://auto.sina.com.cn,https://auto.sina.com.cn,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,en,auto.sohu.com,https://auto.sohu.com,https://auto.sohu.com,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,en,autoindustriya.com,https://www.autoindustriya.com,https://www.autoindustriya.com,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,ko,autotimes.co.kr,https://www.autotimes.co.kr,https://www.autotimes.co.kr,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,en,bangkokpost.com,https://www.bangkokpost.com/auto,https://www.bangkokpost.com/auto,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,ja,car.watch.impress.co.jp,https://car.watch.impress.co.jp,https://car.watch.impress.co.jp,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,en,cardekho.com,https://www.cardekho.com,https://www.cardekho.com,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,en,carwale.com,https://www.carwale.com,https://www.carwale.com,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,zh,chinadaily.com.cn,https://www.chinadaily.com.cn,https://www.chinadaily.com.cn,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,en,dongchedi.com,https://www.dongchedi.com,https://www.dongchedi.com,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,en,koreaherald.com,https://www.koreaherald.com,https://www.koreaherald.com,,,АвтоСМИ,2,from PREVIEW (Азиатские)
Asia-Pacific,en,koreajoongangdaily.joins.com,https://koreajoongangdaily.joins.com,https://koreajoongangdaily.joins.com,,,АвтоСМИ,2,from PREVIEW (Азиатские)
